NumberOfBHK,Price,Transaction,BuiltUpArea,Availability,PostedDate,PostedBy,ReraApproved,AreaName
2,25.63 Lakh,Resale,741 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Hoskote, Bangalore"
2,82.45 Lakh,Resale,1386 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Electronic City Phase I, Bangalore"
3,86.16 Lakh,Resale,1436 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Road, Bangalore"
3,91.17 Lakh,Resale,1395 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Electronic City Phase II, Bangalore"
4,1.42 Crore,Resale,2225 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Electronic City Phase II, Bangalore"
4,1.04 Crore,Resale,2314 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur, Bangalore"
1,31.54 Lakh,Resale,701 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Off Sarjapur road, Bangalore"
4,3.91 Crore,Resale,4280 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Koramangala, Bangalore"
3,1.08 Crore,Resale,1574 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes, Thanisandra Ma
2,45.56 Lakh,Resale,1215 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes, Thanisandra Ma
3,2.11 Crore,Resale,2070 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Sarjapur, Bangalore"
2,69.13 Lakh,Resale,1257 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes, Thanisandra Ma
2,68.88 Lakh,Resale,1120 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Bannerghatta Road, Bangalore"
2,39.09 Lakh,New Property,1017 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Sarjapur, Bangalore"
4,4.06 Crore,Resale,4067 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Bannerghatta Road, Bangalore"
3,63 Lakhs,Resale,1835 Sq.Ft.,Ready To Move,09-Dec-2024,Broker,No," Narayanapura, Bangalore"
3,1.17 Crore,New Property,1186 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Vijaya Nagar, Bangalore"
4,1.95 Crore,New Property,1885 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," JP Nagar, Bangalore"
4,3.50 Crore,New Property,3048 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Kundalahalli, Bangalore"
4,2.35 Crore,New Property,2544 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Budigere Cross, Bangalore"
2,1.27 Crore,New Property,1215 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Sarjapur Road, Bangalore"
2,82.45 Lakh,Resale,1386 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Electronic City Phase I, Bangalore"
1,31.54 Lakh,Resale,701 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Off Sarjapur road, Bangalore"
4,3.91 Crore,Resale,4280 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Koramangala, Bangalore"
3,91.17 Lakh,Resale,1395 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Electronic City Phase II, Bangalore"
4,4.06 Crore,Resale,4067 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Bannerghatta Road, Bangalore"
3,1.08 Crore,Resale,1574 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes, Thanisandra Ma
2,45.56 Lakh,Resale,1215 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes, Thanisandra Ma
3,2.11 Crore,Resale,2070 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Sarjapur, Bangalore"
2,68.88 Lakh,Resale,1120 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Bannerghatta Road, Bangalore"
2,80.09 Lakh,Resale,1047 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Whitefield, Bangalore"
2,39.09 Lakh,New Property,1017 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Sarjapur, Bangalore"
2,53.82 Lakh,Resale,1035 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Electronic City, Bangalore"
2,65.34 Lakh,Resale,1294 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Kanakapura Road, Bangalore"
3,1.81 Crore,Resale,1918 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes, B
4+,4.87 Crore,Resale,5325 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Koramangala, Bangalore"
2,66.49 Lakh,New Property,1009 Sq.Ft.,Ready To Move,28-Nov-2024,Broker,Yes," Devanahalli, Bangalore"
2,1.27 Crore,New Property,1215 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Sarjapur Road, Bangalore"
3,1.64 Crore,New Property,1580 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," JP Nagar, Bangalore"
1,45.16 Lakh,Resale,666 Sq.Ft.,Ready To Move,09-Dec-2024,Broker,Yes," Sarjapur Road, Bangalore"
3,3.68 Crore,New Property,2796 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Whitefield, Bangalore"
2,60 Lakhs,New Property,1199 Sq.Ft.,Ready To Move,17-Dec-2024,Broker,Yes," Kengeri, Bangalore"
3,63.36 Lakh,Resale,1440 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
3,66.35 Lakh,Resale,1252 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Electronic City Phase II, Bangalore"
3,54.01 Lakh,Resale,1385 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
2,38.44 Lakh,New Property,1240 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Chandapura Anekal Road, Bangalore"
3,1.69 Crore,Resale,2170 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
4,2.70 Crore,Resale,2600 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Marathahalli, Bangalore"
2,67.02 Lakh,Resale,1117 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Mysore Road, Bangalore"
2,71.50 Lakh,Resale,1375 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Electronic City, Bangalore"
2,80 Lakhs,Resale,1019 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Kanakapura Road, Bangalore"
