NumberOfBHK,Price,Transaction,BuiltUpArea,Availability,PostedDate,PostedBy,ReraApproved,AreaName
3,1.11 Crore,New Property,1100 Sq.Ft.,Ready To Move,28-Nov-2024,Broker,Yes," Kanakapura Road, Bangalore"
2,99 Lakhs,New Property,1150 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Gunjur, Bangalore"
4,4.17 Crore,New Property,3556 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Whitefield, Bangalore"
2,1.38 Crore,New Property,1294 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Whitefield, Bangalore"
2,90.93 Lakh,New Property,1425 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore."
4,7.55 Crore,New Property,4201 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
4,5.95 Crore,New Property,4201 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
3,1.47 Crore,New Property,1599 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore."
4,7.95 Crore,New Property,5200 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Hebbal, Bangalore"
2,95 Lakhs,Resale,1220 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Devanahalli, Bangalore"
3,2.14 Crore,Resale,1737 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Mysore Road, Bangalore"
3,1.10 Crore,Resale,1410 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Electronic City Phase I, Bangalore"
3,1.77 Crore,New Property,1680 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Old Madras Road, Bangalore"
3,1.08 Crore,New Property,1540 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Kamala Nagar, Bangalore"
3,1.93 Crore,New Property,1545 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," BTM Layout, Bangalore"
2,1.33 Crore,New Property,1215 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," KR Puram, Bangalore"
3,67.68 Lakh,New Property,1410 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Attibele Road, Bangalore."
3,1.21 Crore,New Property,1366 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore."
3,1.34 Crore,New Property,1645 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
4+,4.56 Crore,New Property,4900 Sq.Ft.,Ready To Move,17-Dec-2024,Broker,Yes," Devanahalli, Bangalore"
4,6.21 Crore,New Property,3720 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,No," Old Madras Road, Bangalore"
3,2.90 Crore,New Property,1825 Sq.Ft.,Ready To Move,09-Dec-2024,Broker,Yes," Whitefield, Bangalore"
4,8.62 Crore,New Property,5219 Sq.Ft.,Ready To Move,23-Nov-2024,Broker,Yes," Jayanagar, Bangalore"
3,1.84 Crore,New Property,1690 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Whitefield, Bangalore"
4,2.35 Crore,New Property,2544 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Budigere Cross, Bangalore"
4,1.71 Crore,New Property,2545 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Old Madras Road, Bangalore."
1,53.34 Lakh,New Property,660 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore."
2,85.60 Lakh,New Property,1096 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore."
3,1.07 Crore,New Property,1715 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore."
3,1.16 Crore,New Property,1618 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Thanisandra, Bangalore."
2,50.71 Lakh,New Property,980 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Electronic City Phase II, Bangalore."
3,3.30 Crore,New Property,2605 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," BTM Layout, Bangalore"
2,90.93 Lakh,New Property,1425 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore."
3,1.08 Crore,New Property,1511 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Thanisandra, Bangalore."
3,87.28 Lakh,New Property,1405 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore."
4,7.55 Crore,New Property,4201 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
2,1.17 Crore,New Property,1266 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore."
4,5.95 Crore,New Property,4201 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
3,1.47 Crore,New Property,1599 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore."
3,60.24 Lakh,New Property,1029 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Hennur Road, Bangalore."
3,1.08 Crore,New Property,1360 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Mysore Road, Bangalore"
2,63.13 Lakh,Resale,1070 Sq.Ft.,Ready To Move,09-Dec-2024,Broker,Yes," Varthur Road, Bangalore"
4,3.97 Crore,New Property,3153 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Sarjapur Road, Bangalore"
3,2.04 Crore,New Property,1575 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Haralur Road, Bangalore"
2,95.73 Lakh,New Property,907 Sq.Ft.,Ready To Move,28-Nov-2024,Broker,Yes," Kanakapura Road, Bangalore"
3,63 Lakhs,Resale,1835 Sq.Ft.,Ready To Move,09-Dec-2024,Broker,No," Narayanapura, Bangalore"
4,7.95 Crore,New Property,5200 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Hebbal, Bangalore"
2,95 Lakhs,Resale,1220 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Devanahalli, Bangalore"
3,2.14 Crore,Resale,1737 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Mysore Road, Bangalore"
3,1.10 Crore,Resale,1410 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Electronic City Phase I, Bangalore"
3,1.77 Crore,New Property,1680 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Old Madras Road, Bangalore"
3,1.08 Crore,New Property,1540 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Kamala Nagar, Bangalore"
3,1.93 Crore,New Property,1545 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," BTM Layout, Bangalore"
2,1.33 Crore,New Property,1215 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," KR Puram, Bangalore"
3,67.68 Lakh,New Property,1410 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Attibele Road, Bangalore."
3,1.25 Crore,New Property,1595 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore."
3,1.21 Crore,New Property,1366 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore."
3,1.34 Crore,New Property,1645 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
3,3.56 Crore,New Property,1833 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
2,80 Lakhs,New Property,986 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
3,1.33 Crore,New Property,1800 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Mysore Road, Bangalore"
3,2.04 Crore,New Property,1575 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Haralur Road, Bangalore"
2,95.17 Lakh,New Property,1230 Sq.Ft.,Ready To Move,09-Dec-2024,Broker,Yes," Gangamma Circle, Bangalore"
4,2.49 Crore,New Property,2428 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Whitefield, Bangalore"
3,70 Lakhs,Resale,1224 Sq.Ft.,Ready To Move,09-Dec-2024,Broker,Yes," Bagaluru, Bangalore"
3,2.27 Crore,New Property,2540 Sq.Ft.,Ready To Move,17-Dec-2024,Broker,Yes," Devanahalli, Bangalore"
4,3.63 Crore,New Property,3712 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Budigere Cross, Bangalore"
3,3 Crores,Resale,2015 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Bellandur, Bangalore"
4,52.11 Lakh,New Property,1489 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Attibele Road, Bangalore."
2,40.11 Lakh,New Property,1146 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Attibele Road, Bangalore."
3,1.22 Crore,New Property,1350 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
3,1.86 Crore,New Property,1839 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
2,1.25 Crore,New Property,1522 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," KR Puram, Bangalore"
3,1.40 Crore,New Property,1775 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore."
3,1.38 Crore,New Property,1700 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
3,1.46 Crore,New Property,1335 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Old Madras Road, Bangalore"
1,49 Lakhs,New Property,704 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Road, Bangalore."
2,9.40 Crore,New Property,1200 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Kasavanahalli, Bangalore"
3,92.62 Lakh,New Property,1425 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Kannamangala, Bangalore"
3,56.37 Lakh,New Property,1375 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Kyalasanahalli, Bangalore"
2,89.90 Lakh,New Property,986 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
2,83.75 Lakh,New Property,1300 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore."
3,1.64 Crore,New Property,1580 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," JP Nagar, Bangalore"
3,3.65 Crore,New Property,2215 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,No," Malleshwaram, Bangalore"
4,8 Crores,New Property,5098 Sq.Ft.,Ready To Move,06-Dec-2024,Broker,Yes," Hebbal, Bangalore"
3,1.35 Crore,New Property,1592 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Rayasandra, Bangalore"
2,1.18 Crore,New Property,1230 Sq.Ft.,Ready To Move,29-Nov-2024,Broker,Yes," Yeshwanthpur, Bangalore"
2,72.71 Lakh,New Property,880 Sq.Ft.,Ready To Move,28-Nov-2024,Broker,Yes," Whitefield, Bangalore"
3,94.26 Lakh,New Property,1519 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," KR Puram, Bangalore"
2,1.05 Crore,New Property,1018 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Varthur, Bangalore"
3,1.28 Crore,New Property,1719 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Banashankari 6th Stage, Bangalore"
2,73.56 Lakh,New Property,1100 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Road, Bangalore"
3,66.76 Lakh,New Property,1560 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Chandapura, Bangalore"
2,62.06 Lakh,New Property,1078 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Electronic City, Bangalore"
3,1.22 Crore,New Property,1600 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Gummanahalli, Bangalore"
2,1.10 Crore,New Property,1109 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Kaggadasapura, Bangalore"
2,65 Lakhs,New Property,1250 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Kammanahalli, Bangalore"
2,74 Lakhs,New Property,1275 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Yelahanka, Bangalore"
3,97.88 Lakh,New Property,1595 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Uttarahalli, Bangalore"
2,72.74 Lakh,New Property,970 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Gunjur, Bangalore"
2,68.79 Lakh,New Property,1166 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Raja Rajeshwari Nagar, Bangalore."
1,65.41 Lakh,New Property,735 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Gunjur, Bangalore"
3,1.72 Crore,New Property,1745 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," HSR Layout, Bangalore"
2,1.06 Crore,New Property,1280 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Whitefield, Bangalore"
3,3.23 Crore,New Property,2037 Sq.Ft.,Ready To Move,25-Nov-2024,Broker,Yes," Jayanagar, Bangalore"
3,1.98 Crore,New Property,1700 Sq.Ft.,Ready To Move,09-Dec-2024,Broker,Yes," Sarjapur Road, Bangalore"
2,2.76 Crore,New Property,1730 Sq.Ft.,Ready To Move,23-Nov-2024,Broker,Yes," Jayanagar, Bangalore"
3,2.88 Crore,New Property,2270 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Bannerghatta Road, Bangalore"
3,63 Lakhs,Resale,1835 Sq.Ft.,Ready To Move,09-Dec-2024,Broker,No," Narayanapura, Bangalore"
1,20.48 Lakh,New Property,565 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur, Bangalore."
3,65.59 Lakh,New Property,1245 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore."
2,1.05 Crore,New Property,1207 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
1,19.57 Lakh,New Property,540 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur, Bangalore."
3,2.24 Crore,New Property,2360 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Banashankari, Bangalore."
4,2.75 Crore,New Property,2905 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Banashankari, Bangalore."
4,3.53 Crore,New Property,3720 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Banashankari, Bangalore."
3,86.99 Lakh,New Property,1560 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Electronic City Phase II, Bangalore."
4,2.59 Crore,New Property,2560 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Yeshwanthpur, Bangalore."
4+,14.20 Crore,New Property,7145 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Malleshwaram, Bangalore."
4,5.38 Crore,New Property,4490 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Malleshwaram, Bangalore."
2,1.26 Crore,New Property,1250 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Yeshwanthpur, Bangalore."
2,71.28 Lakh,New Property,1273 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Doddaballapur Road, Bangalore."
2,80 Lakhs,New Property,1019 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Kanakapura Road, Bangalore."
3,72 Lakhs,New Property,1400 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Attibele Road, Bangalore."
3,96.50 Lakh,New Property,1273 Sq.Ft.,Ready To Move,28-Nov-2024,Broker,Yes," Devanahalli, Bangalore"
4+,7.47 Crore,New Property,4890 Sq.Ft.,Ready To Move,06-Dec-2024,Broker,Yes," Hebbal, Bangalore"
4,2.43 Crore,New Property,2371 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Whitefield, Bangalore"
2,61 Lakhs,Resale,1535 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,No," Narayanapura, Bangalore"
2,61.65 Lakh,Resale,1045 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,Yes," Varthur Road, Bangalore"
4,3.50 Crore,New Property,3048 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Kundalahalli, Bangalore"
1,39.03 Lakh,New Property,697 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Doddaballapur Road, Bangalore."
3,3.83 Crore,New Property,3195 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Malleshwaram, Bangalore."
3,3.95 Crore,New Property,3295 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Malleshwaram, Bangalore."
2,1.27 Crore,New Property,1204 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Kanakapura Road, Bangalore."
2,67.66 Lakh,New Property,1080 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Electronic City Phase I, Bangalore."
3,92.66 Lakh,New Property,1430 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Electronic City Phase I, Bangalore."
4,3.18 Crore,New Property,4408 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Off Sarjapur road, Bangalore."
2,73.81 Lakh,New Property,1210 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Off Sarjapur road, Bangalore"
4,60.37 Lakh,New Property,1725 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Attibele Road, Bangalore."
4,1.61 Crore,New Property,2710 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Road, Bangalore."
2,1.35 Crore,New Property,1274 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Kanakapura Road, Bangalore."
3,50.40 Lakh,New Property,1440 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Attibele Road, Bangalore."
3,1.21 Crore,New Property,1677 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Thanisandra, Bangalore"
3,1.01 Crore,New Property,1780 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Devanahalli, Bangalore."
3,95.48 Lakh,New Property,1705 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Doddaballapur Road, Bangalore."
4,8.24 Crore,New Property,4543 Sq.Ft.,Ready To Move,06-Dec-2024,Broker,Yes," Hebbal, Bangalore"
3,1.08 Crore,New Property,1360 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Mysore Road, Bangalore"
3,4.14 Crore,New Property,3160 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Whitefield, Bangalore"
3,1.93 Crore,New Property,2438 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Chikkavaderapura, Bangalore"
3,2.88 Crore,New Property,2270 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Bannerghatta Road, Bangalore"
4,2.49 Crore,New Property,2428 Sq.Ft.,Ready To Move,09-Dec-2024,Broker,Yes," Whitefield, Bangalore"
2,57 Lakhs,New Property,1040 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Begur, Bangalore"
2,98.05 Lakh,New Property,1325 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Banashankari, Bangalore."
3,76.04 Lakh,New Property,1325 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Electronic City, Bangalore."
3,1.31 Crore,New Property,1814 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Bannerghatta Road, Bangalore."
3,89.97 Lakh,New Property,1475 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Off Sarjapur road, Bangalore"
2,92 Lakhs,New Property,1272 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Bannerghatta Road, Bangalore."
3,1.55 Crore,New Property,1775 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sahakara Nagar, Bangalore"
2,1.53 Crore,New Property,1589 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No, B
3,96.42 Lakh,New Property,1330 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Hebbal, Bangalore."
3,1.07 Crore,New Property,1658 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Road, Bangalore."
2,75.83 Lakh,New Property,1046 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Hebbal, Bangalore."
2,87.30 Lakh,New Property,1504 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No, Hennur Ma
2,23.97 Lakh,New Property,685 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Road, Bangalore."
2,54.44 Lakh,New Property,1089 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," JP Nagar Phase 8, Bangalore."
2,58.08 Lakh,New Property,968 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Nallurhalli, Bangalore."
2,1.04 Crore,New Property,1250 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Whitefield, Bangalore"
3,1.12 Crore,New Property,1465 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Samethanahalli, Bangalore"
3,1.59 Crore,New Property,1600 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Gunjur, Bangalore"
2,49.57 Lakh,New Property,600 Sq.Ft.,Ready To Move,28-Nov-2024,Broker,Yes," Whitefield, Bangalore"
2,1.26 Crore,New Property,1535 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Whitefield, Bangalore"
3,1.64 Crore,New Property,1580 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," JP Nagar, Bangalore"
2,61.60 Lakh,New Property,1120 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Anekal, Bangalore"
2,99 Lakhs,New Property,1140 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Varthur, Bangalore"
3,1.48 Crore,New Property,1735 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," KR Puram, Bangalore"
3,1.60 Crore,New Property,1655 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Nagavara, Bangalore"
3,97.88 Lakh,New Property,1595 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Uttarahalli, Bangalore"
2,66 Lakhs,New Property,1095 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No, Thanisandra Ma
3,55.40 Lakh,New Property,943 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Mysore Road, Bangalore."
2,68.79 Lakh,New Property,1166 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Raja Rajeshwari Nagar, Bangalore."
2,72.74 Lakh,New Property,970 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Gunjur, Bangalore"
2,75.46 Lakh,New Property,1245 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Arehalli, Bangalore"
4,1.15 Crore,New Property,2300 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Hoskote, Bangalore."
3,91.35 Lakh,New Property,1305 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Kanakapura Road, Bangalore"
2,80.03 Lakh,New Property,1240 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Road, Bangalore."
2,81.25 Lakh,New Property,1300 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Road, Bangalore"
2,1.06 Crore,New Property,1420 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Gunjur, Bangalore"
1,38 Lakhs,New Property,600 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,No," Bagaluru, Bangalore"
3,1.21 Crore,New Property,1571 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Samethanahalli, Bangalore"
4,8.02 Crore,New Property,5260 Sq.Ft.,Ready To Move,06-Dec-2024,Broker,Yes," Hebbal, Bangalore"
2,92.79 Lakh,New Property,985 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Sarjapur Road, Bangalore"
2,1.50 Crore,New Property,1660 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Gunjur, Bangalore"
3,2.40 Crore,New Property,2332 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," JP Nagar Phase 6, Bangalore"
3,1.49 Crore,New Property,2215 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Old Madras Road, Bangalore."
4,1.76 Crore,New Property,2625 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Old Madras Road, Bangalore."
3,4.75 Crore,New Property,3221 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Bannerghatta Road, Bangalore."
4,3.86 Crore,New Property,2618 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Bannerghatta Road, Bangalore."
1,54.77 Lakh,New Property,718 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Thanisandra, Bangalore."
2,77.71 Lakh,New Property,1195 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore."
2,60 Lakhs,New Property,945 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Electronic City Phase I, Bangalore"
3,91.68 Lakh,New Property,1667 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Uttarahalli, Bangalore"
3,1.27 Crore,New Property,2550 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur, Bangalore."
3,1.06 Crore,New Property,1929 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Electronic City Phase I, Bangalore"
3,68.31 Lakh,New Property,1201 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Hennur Road, Bangalore."
2,1.03 Crore,New Property,1150 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Electronic City Phase I, Bangalore"
3,1.32 Crore,New Property,1678 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Hosur Road, Bangalore"
3,51.84 Lakh,New Property,1080 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Attibele Road, Bangalore."
3,1.79 Crore,New Property,1500 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Rachenahalli, Bangalore"
3,4.02 Crore,New Property,2554 Sq.Ft.,Ready To Move,23-Nov-2024,Broker,Yes," Jayanagar, Bangalore"
3,1.12 Crore,New Property,1465 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Samethanahalli, Bangalore"
2,88 Lakhs,New Property,1100 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Kanakapura Road, Bangalore"
3,1.21 Crore,New Property,1571 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Samethanahalli, Bangalore"
3,1.41 Crore,New Property,1545 Sq.Ft.,Ready To Move,29-Nov-2024,Broker,Yes," Yeshwanthpur, Bangalore"
3,98.72 Lakh,New Property,1498 Sq.Ft.,Ready To Move,28-Nov-2024,Broker,Yes," Devanahalli, Bangalore"
2,71.76 Lakh,New Property,1160 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur, Bangalore"
2,1.21 Crore,New Property,1470 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Haralur Road, Bangalore"
3,1.21 Crore,New Property,1366 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore."
2,1.11 Crore,New Property,1110 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," KR Puram, Bangalore"
2,90.50 Lakh,New Property,1000 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Attibele, Bangalore"
3,1.16 Crore,New Property,1520 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Gummanahalli, Bangalore"
