,NumberOfBHK,Price,Transaction,Availability,PostedBy,ReraApproved,AreaName,BuiltUpArea_sqft
379,3,20000000,New Property,Ready To Move,Broker,Yes, Devanahalli,2589
380,4,49400000,New Property,Ready To Move,Broker,Yes, Jakkur,4857
381,3,6664000,New Property,Ready To Move,Broker,Yes, Whitefield,1750
382,2,9900000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,1025
383,4,39700000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,3153
384,2,4174000,New Property,Ready To Move,Broker,No, Electronic City Phase II,1021
385,3,7985000,New Property,Ready To Move,Broker,No, Hennur Road,1580
386,1,1627000,New Property,Ready To Move,Broker,No, Banashankari,350
387,3,8946000,New Property,Ready To Move,Broker,No, Bellary Road,1491
388,2,3391000,New Property,Ready To Move,Broker,No, Sarjapur Road,1015
389,3,15500000,New Property,Ready To Move,Broker,No, Kanakapura Road,1710
390,2,6800000,New Property,Ready To Move,Broker,No, Tumkur Road,1165
391,2,13500000,New Property,Ready To Move,Broker,No, Hebbal,1194
392,2,5802000,New Property,Ready To Move,Broker,No, Bannerghatta Road,1055
393,2,11000000,New Property,Ready To Move,Broker,No, Kaggadasapura,1109
394,3,14000000,New Property,Ready To Move,Broker,No, Varthur,1880
395,2,8999000,New Property,Ready To Move,Broker,No, Sarjapur Road,1110
396,3,10800000,New Property,Ready To Move,Broker,No, Kanakapura Road,1707
397,3,9642000,New Property,Ready To Move,Broker,No, Thanisandra,1330
398,2,10100000,New Property,Ready To Move,Broker,No, Bannerghatta Road,1402
399,2,6700000,New Property,Ready To Move,Broker,Yes, Samethanahalli,841
400,3,9863000,New Property,Ready To Move,Broker,Yes, Whitefield,1110
401,2,4957000,New Property,Ready To Move,Broker,Yes, Whitefield,600
402,4,24900000,New Property,Ready To Move,Broker,Yes, Whitefield,2428
403,3,10800000,New Property,Ready To Move,Broker,Yes, Mysore Road,1360
404,4+,28000000,Resale,Ready To Move,Broker,No, Old Madras Road,5600
405,3,10000000,New Property,Ready To Move,Broker,No, Devanahalli,1410
406,3,15000000,New Property,Ready To Move,Broker,No, Whitefield,1428
407,3,12500000,New Property,Ready To Move,Broker,No, Sarjapur Road,1557
408,3,6500000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1265
409,2,10700000,New Property,Ready To Move,Broker,No, Whitefield,1178
410,2,8800000,New Property,Ready To Move,Broker,No, Whitefield,1047
411,2,8292000,New Property,Ready To Move,Broker,No, Sarjapur Road,1240
412,2,4233000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1135
413,2,10200000,New Property,Ready To Move,Broker,No, Whitefield,1292
414,3,13600000,New Property,Ready To Move,Broker,No, International Airport Road,1463
415,2,9000000,New Property,Ready To Move,Broker,No, Sarjapur Road,1110
416,2,5300000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1195
417,2,11100000,New Property,Ready To Move,Broker,No, Gunjur,1393
418,2,9000000,New Property,Ready To Move,Broker,No, Sarjapur Road,1110
419,1,4400000,New Property,Ready To Move,Broker,No, Sarjapur Road,608
420,2,13200000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,1435
421,4,96400000,New Property,Ready To Move,Broker,Yes, Hebbal,5410
422,4,93700000,New Property,Ready To Move,Broker,Yes, Hebbal,5246
423,3,11000000,New Property,Ready To Move,Broker,Yes, Devanahalli,1466
424,3,11800000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,1281
425,2,6839000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,680
426,2,7500000,New Property,Ready To Move,Broker,No, Kanakapura Road,1290
427,3,10000000,New Property,Ready To Move,Broker,No, Old Madras Road,1427
428,2,7000000,New Property,Ready To Move,Broker,No, Devanahalli,1100
429,2,4815000,New Property,Ready To Move,Broker,No, Kengeri,950
430,1,3000000,New Property,Ready To Move,Broker,No, Chikkagubbi Village,394
431,3,20000000,New Property,Ready To Move,Broker,No, Whitefield,1815
432,2,7500000,New Property,Ready To Move,Broker,No, Sarjapur,1250
433,4+,11700000,New Property,Ready To Move,Broker,No, Sarjapur Road,1925
434,1,2600000,New Property,Ready To Move,Broker,No, Kengeri,540
435,2,2970000,New Property,Ready To Move,Broker,No, Sarjapur Attibele Road,924
436,2,7705000,New Property,Ready To Move,Broker,No, Kasavanahalli,1150
437,3,7820000,New Property,Ready To Move,Broker,No, Yelahanka,1564
438,3,16500000,New Property,Ready To Move,Broker,No, Hennur Road,1936
439,2,5040000,New Property,Ready To Move,Broker,No, Electronic City,1120
440,2,8000000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1060
441,4,40000000,New Property,Ready To Move,Broker,Yes, Devanahalli,3500
442,4,80200000,New Property,Ready To Move,Broker,Yes, Hebbal,5260
443,3,9056000,Resale,Ready To Move,Broker,Yes, Varthur Road,1535
444,3,15000000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,1314
445,3,7807000,New Property,Ready To Move,Broker,Yes, Koppa Begur Road,1859
446,3,16300000,New Property,Ready To Move,Broker,Yes, Hoodi,1883
447,2,6400000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1100
448,2,5170000,New Property,Ready To Move,Broker,No, Gunjur,1100
449,3,12000000,New Property,Ready To Move,Broker,No, Marathahalli,1500
450,2,7490000,New Property,Ready To Move,Broker,No, Kanakapura Road,1070
451,3,9310000,New Property,Ready To Move,Broker,No, Hoodi,1330
452,2,6537000,New Property,Ready To Move,Broker,No, Bilekahalli,1147
453,2,4263000,New Property,Ready To Move,Broker,No, Electronic City,1185
454,2,7500000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1125
455,3,7320000,New Property,Ready To Move,Broker,No, Varthur,1220
456,2,9450000,New Property,Ready To Move,Broker,No, Raja Rajeshwari Nagar,1260
457,2,6276000,New Property,Ready To Move,Broker,No, Sarjapur,1010
458,2,12000000,New Property,Ready To Move,Broker,No, Sarjapur Road,1290
459,3,10600000,New Property,Ready To Move,Broker,No, Off Sarjapur road,1580
460,2,4530000,New Property,Ready To Move,Broker,No, Chandapura,1020
461,2,6600000,New Property,Ready To Move,Broker,No, Whitefield,1200
462,2,6700000,New Property,Ready To Move,Broker,Yes, Samethanahalli,841
463,2,4556000,Resale,Ready To Move,Broker,Yes, Thanisandra Ma,1215
464,2,8797000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,945
465,3,11200000,New Property,Ready To Move,Broker,Yes, Samethanahalli,1465
466,2,5499000,Resale,Ready To Move,Broker,Yes, Bagaluru,955
467,2,27600000,New Property,Ready To Move,Broker,Yes, Jayanagar,1730
468,3,16500000,New Property,Ready To Move,Broker,No, Kanakapura Road,1694
469,2,14000000,New Property,Ready To Move,Broker,No, B,1365
470,3,5144000,New Property,Ready To Move,Broker,No, Chandapura,1168
471,1,3572000,New Property,Ready To Move,Broker,No, Chandapura,789
472,2,5700000,New Property,Ready To Move,Broker,No, Sarjapur Road,942
473,3,8500000,New Property,Ready To Move,Broker,No, Kanakapura Road,1478
474,3,10000000,New Property,Ready To Move,Broker,No, Old Madras Road,1450
475,2,7000000,New Property,Ready To Move,Broker,No, Devanahalli,1260
476,2,6000000,New Property,Ready To Move,Broker,No, Uttarahalli,750
477,3,16200000,New Property,Ready To Move,Broker,No, Sarjapur Road,1700
478,2,144200000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1128
479,1,4000000,New Property,Ready To Move,Broker,No, Kanakapura Road,554
480,2,7351000,New Property,Ready To Move,Broker,No, Sarjapur Road,1131
481,2,6900000,New Property,Ready To Move,Broker,No, Whitefield,1280
482,1,7500000,New Property,Ready To Move,Broker,No, Whitefield,669
483,2,16300000,New Property,Ready To Move,Broker,Yes, JP Nagar,1570
484,4,28900000,New Property,Ready To Move,Broker,Yes, Whitefield,2712
485,3,13500000,New Property,Ready To Move,Broker,Yes, Rayasandra,1592
486,3,26100000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,2104
487,2,5499000,Resale,Ready To Move,Broker,Yes, Bagaluru,955
488,2,9279000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,985
489,2,9365000,New Property,Ready To Move,Broker,No, Thanisandra,1279
490,2,10000000,New Property,Ready To Move,Broker,No, Nallurhalli,1121
491,2,4100000,New Property,Ready To Move,Broker,No, Kengeri,890
492,3,15000000,New Property,Ready To Move,Broker,No, Bilekahalli,1540
493,3,14000000,New Property,Ready To Move,Broker,No, Nallurhalli,1541
494,3,14900000,New Property,Ready To Move,Broker,No, Kanakapura Road,1710
495,2,9000000,New Property,Ready To Move,Broker,No, Sarjapur Road,1110
496,1,2773000,New Property,Ready To Move,Broker,No, Yeshwanthpur,627
497,2,6903000,New Property,Ready To Move,Broker,No, Yelahanka,1062
498,2,7324000,New Property,Ready To Move,Broker,No, Varthur,1285
499,2,5170000,New Property,Ready To Move,Broker,No, Gunjur,1100
500,3,12000000,New Property,Ready To Move,Broker,No, Marathahalli,1500
501,3,9310000,New Property,Ready To Move,Broker,No, Hoodi,1330
502,2,7500000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1125
503,2,6537000,New Property,Ready To Move,Broker,No, Bilekahalli,1147
504,2,9517000,New Property,Ready To Move,Broker,Yes, Gangamma Circle,1230
505,2,11500000,New Property,Ready To Move,Broker,Yes, Whitefield,1390
506,4,35000000,New Property,Ready To Move,Broker,Yes, Kundalahalli,3048
507,4,96400000,New Property,Ready To Move,Broker,Yes, Hebbal,5410
508,1,4516000,Resale,Ready To Move,Broker,Yes, Sarjapur Road,666
509,2,6888000,Resale,Ready To Move,Broker,Yes, Bannerghatta Road,1120
510,4,25200000,New Property,Ready To Move,Broker,No, Whitefield,2396
511,4,20200000,Resale,Ready To Move,Broker,No, Sarjapur Road,2232
512,3,19200000,Resale,Ready To Move,Broker,No, Chikkavaderapura,1895
513,3,18600000,New Property,Ready To Move,Broker,No, Whitefield,1839
514,3,20000000,New Property,Ready To Move,Broker,No, Hebbal,1682
515,3,14500000,New Property,Ready To Move,Broker,No, KR Puram,1483
516,3,13000000,Resale,Ready To Move,Broker,No, Indira Nagar,1432
517,3,14000000,New Property,Ready To Move,Broker,No, KR Puram,1339
518,3,13000000,Resale,Ready To Move,Broker,No, KR Puram,1254
519,2,4900000,Resale,Ready To Move,Broker,No, Sarjapur,845
520,2,4950000,Resale,Ready To Move,Broker,No, Sarjapur,858
521,2,4535000,New Property,Ready To Move,Broker,No, Devanahalli,900
522,4,19800000,New Property,Ready To Move,Broker,No, Sarjapur Road,2182
523,3,16900000,New Property,Ready To Move,Broker,No, KR Puram,1500
524,3,13900000,New Property,Ready To Move,Broker,No, Chikkavaderapura,1424
525,3,10800000,Resale,Ready To Move,Broker,Yes, Thanisandra Ma,1574
526,4,24500000,Resale,Ready To Move,Broker,Yes, Sarjapur Road,3060
527,4,82400000,New Property,Ready To Move,Broker,Yes, Hebbal,4543
528,4,62100000,New Property,Ready To Move,Broker,No, Old Madras Road,3720
529,3,23000000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,2000
530,4,35000000,New Property,Ready To Move,Broker,Yes, Kundalahalli,3048
531,2,4900000,New Property,Ready To Move,Broker,No, Sarjapur,845
532,2,9900000,Resale,Ready To Move,Broker,No, Kanakapura Road,1030
533,3,7567000,New Property,Ready To Move,Broker,No, Hoskote,1610
534,3,9100000,New Property,Ready To Move,Broker,No, Sompura,1400
535,3,20600000,New Property,Ready To Move,Broker,No, Whitefield,1615
536,2,5598000,New Property,Ready To Move,Broker,No, Sarjapur,933
537,3,14000000,New Property,Ready To Move,Broker,No, Hosur Road,1685
538,2,7600000,New Property,Ready To Move,Broker,No, Bagaluru,1092
539,3,10500000,New Property,Ready To Move,Broker,No, Nagavara,1739
540,3,9600000,New Property,Ready To Move,Broker,No, Nagavara,1621
541,2,12000000,New Property,Ready To Move,Broker,No, Thanisandra Ma,1010
542,3,11400000,New Property,Ready To Move,Broker,No, Sarjapur Road,1574
543,3,7962000,New Property,Ready To Move,Broker,No, Sarjapur,1327
544,3,12000000,New Property,Ready To Move,Broker,No, Raja Rajeshwari Nagar,1890
545,3,13800000,New Property,Ready To Move,Broker,No, Whitefield,1700
546,3,16000000,Resale,Ready To Move,Broker,Yes, Banashankari,1612
547,3,9117000,Resale,Ready To Move,Broker,Yes, Electronic City Phase II,1395
548,3,12100000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,1321
549,4,10500000,Resale,Ready To Move,Broker,No, Doddaballapur,2200
550,4,25300000,New Property,Ready To Move,Broker,Yes, Bellandur,2025
551,2,13800000,New Property,Ready To Move,Broker,Yes, Whitefield,1294
552,1,2976000,New Property,Ready To Move,Broker,No, Electronic City Phase II,470
553,3,8160000,New Property,Ready To Move,Broker,No, Chandapura,1700
554,2,8000000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1000
555,3,5480000,New Property,Ready To Move,Broker,No, Off Sarjapur road,1370
556,2,5459000,New Property,Ready To Move,Broker,No, Kannamangala,910
557,2,7048000,New Property,Ready To Move,Broker,No, Kanakapura Road,1270
558,3,7002000,New Property,Ready To Move,Broker,No, Uttarahalli,1465
559,2,6766000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1080
560,3,5420000,New Property,Ready To Move,Broker,No, Magadi Road,1936
561,2,4502000,New Property,Ready To Move,Broker,No, Hoskote,1085
562,2,5405000,New Property,Ready To Move,Broker,No, Electronic City Phase II,1150
563,3,5282000,New Property,Ready To Move,Broker,No, Whitefield,1390
564,2,2745000,New Property,Ready To Move,Broker,No, Chandapura,915
565,2,7176000,New Property,Ready To Move,Broker,No, Sarjapur,1160
566,3,12400000,New Property,Ready To Move,Broker,No, Hosur Road,1600
567,3,17900000,New Property,Ready To Move,Broker,Yes, Whitefield,1699
568,3,9863000,New Property,Ready To Move,Broker,Yes, Whitefield,1110
569,3,6336000,Resale,Ready To Move,Broker,No, Whitefield,1440
570,2,6913000,Resale,Ready To Move,Broker,Yes, Thanisandra Ma,1257
571,3,14700000,New Property,Ready To Move,Broker,Yes, Vijaya Nagar,1490
572,4,29100000,Resale,Ready To Move,Broker,No, Harlur,2400
573,3,6345000,New Property,Ready To Move,Broker,No, Marathahalli,1410
574,2,4399000,New Property,Ready To Move,Broker,No, Devanahalli,952
575,2,5800000,New Property,Ready To Move,Broker,No, Electronic City Phase II,860
576,2,2900000,New Property,Ready To Move,Broker,No, Attibele,1000
577,2,6000000,New Property,Ready To Move,Broker,No, Tumkur Road,1015
578,2,4174000,New Property,Ready To Move,Broker,No, Electronic City Phase II,1021
579,1,1627000,New Property,Ready To Move,Broker,No, Banashankari,350
580,2,3391000,New Property,Ready To Move,Broker,No, Sarjapur Road,1015
581,2,4631000,New Property,Ready To Move,Broker,No, Attibele,980
582,2,13500000,New Property,Ready To Move,Broker,No, Hebbal,1194
583,3,10800000,New Property,Ready To Move,Broker,No, Kanakapura Road,1707
584,2,4524000,New Property,Ready To Move,Broker,No, Raja Rajeshwari Nagar,1085
585,3,9153000,New Property,Ready To Move,Broker,No, Gummanahalli,1561
586,3,4753000,New Property,Ready To Move,Broker,No, Kyalasanahalli,1358
587,3,5547000,New Property,Ready To Move,Broker,No, Yelahanka,1290
588,4,10400000,Resale,Ready To Move,Broker,No, Sarjapur,2314
589,3,26100000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,2104
590,2,9900000,Resale,Ready To Move,Broker,Yes, Sarjapur Road,1290
591,4,47000000,New Property,Ready To Move,Broker,Yes, Bannerghatta Road,3891
592,3,8600000,Resale,Ready To Move,Broker,Yes, Horamavu,1532
593,4,67100000,New Property,Ready To Move,Broker,No, Malleshwaram,3728
594,2,4040000,New Property,Ready To Move,Broker,No, Munnekollal,1010
595,4,9200000,New Property,Ready To Move,Broker,No, Devanahalli,2000
596,1,5095000,New Property,Ready To Move,Broker,No, Kanakapura Road,669
597,3,9720000,New Property,Ready To Move,Broker,No, Varthur,1375
598,3,14200000,New Property,Ready To Move,Broker,No, Sarjapur Road,1424
599,2,5511000,New Property,Ready To Move,Broker,No, Raja Rajeshwari Nagar,1270
600,2,5400000,New Property,Ready To Move,Broker,No, Horamavu,1000
601,3,15500000,New Property,Ready To Move,Broker,No, Sarjapur Road,1498
602,2,4815000,New Property,Ready To Move,Broker,No, Yelahanka,1070
603,2,6400000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1100
604,2,7490000,New Property,Ready To Move,Broker,No, Kanakapura Road,1070
605,2,6276000,New Property,Ready To Move,Broker,No, Sarjapur,1010
606,3,10600000,New Property,Ready To Move,Broker,No, Off Sarjapur road,1580
607,3,10100000,New Property,Ready To Move,Broker,No, Raja Rajeshwari Nagar,1500
608,3,7378000,New Property,Ready To Move,Broker,No, Devanahalli,1736
609,2,13800000,New Property,Ready To Move,Broker,Yes, Whitefield,1294
610,2,11500000,New Property,Ready To Move,Broker,Yes, Gunjur,1290
611,1,4262000,Resale,Ready To Move,Broker,Yes, Varthur,651
612,2,12500000,New Property,Ready To Move,Broker,Yes, Gunjur,1300
613,3,40200000,New Property,Ready To Move,Broker,Yes, Jayanagar,2554
614,4,18700000,Resale,Ready To Move,Broker,No, Varthur,2610
615,3,12500000,New Property,Ready To Move,Broker,No, Sarjapur Road,1557
616,2,8800000,New Property,Ready To Move,Broker,No, Whitefield,1047
617,2,10700000,New Property,Ready To Move,Broker,No, Whitefield,1178
618,2,8292000,New Property,Ready To Move,Broker,No, Sarjapur Road,1240
619,2,9000000,New Property,Ready To Move,Broker,No, Sarjapur Road,1110
620,3,13600000,New Property,Ready To Move,Broker,No, International Airport Road,1463
621,2,4233000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1135
622,2,10200000,New Property,Ready To Move,Broker,No, Whitefield,1292
623,2,9500000,New Property,Ready To Move,Broker,No, Whitefield,1142
624,3,18500000,New Property,Ready To Move,Broker,No, Bellandur,1920
625,3,9200000,New Property,Ready To Move,Broker,No, Bannerghatta Road,1600
626,2,6000000,New Property,Ready To Move,Broker,No, Uttarahalli,750
627,2,11500000,New Property,Ready To Move,Broker,No, Sarjapur Road,974
628,3,14500000,New Property,Ready To Move,Broker,No, Uttarahalli,1875
629,4+,11700000,New Property,Ready To Move,Broker,No, Sarjapur Road,1925
630,2,12700000,Resale,Ready To Move,Broker,Yes, Kanakapura Road,1204
631,4,93700000,New Property,Ready To Move,Broker,Yes, Hebbal,5246
632,4,10400000,Resale,Ready To Move,Broker,No, Sarjapur,2314
633,3,12000000,New Property,Ready To Move,Broker,Yes, Electronic City,1565
634,1,3410000,Resale,Ready To Move,Broker,Yes, Thanisandra Ma,620
635,2,8797000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,945
636,3,8730000,New Property,Ready To Move,Broker,No, Raja Rajeshwari Nagar,1510
637,3,18000000,New Property,Ready To Move,Broker,No, Hosur Road,1499
638,2,11000000,New Property,Ready To Move,Broker,No, Whitefield,1061
639,3,14500000,New Property,Ready To Move,Broker,No, Sarjapur,1629
640,2,14000000,New Property,Ready To Move,Broker,No, B,1365
641,3,5144000,New Property,Ready To Move,Broker,No, Chandapura,1168
642,3,8500000,New Property,Ready To Move,Broker,No, Kanakapura Road,1478
643,2,7000000,New Property,Ready To Move,Broker,No, Devanahalli,1260
644,3,16200000,New Property,Ready To Move,Broker,No, Sarjapur Road,1700
645,2,144200000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1128
646,1,4000000,New Property,Ready To Move,Broker,No, Kanakapura Road,554
647,2,7351000,New Property,Ready To Move,Broker,No, Sarjapur Road,1131
648,1,7500000,New Property,Ready To Move,Broker,No, Whitefield,669
649,2,7579000,New Property,Ready To Move,Broker,No, Sarjapur Road,1166
650,3,16600000,New Property,Ready To Move,Broker,No, Chikkavaderapura,1431
651,2,12000000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,1260
652,4,89400000,New Property,Ready To Move,Broker,Yes, Hebbal,5260
653,4,31700000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,2550
654,4,78900000,New Property,Ready To Move,Broker,Yes, Hebbal,4358
655,3,10600000,New Property,Ready To Move,Broker,Yes, Begur Road,1518
656,1,5500000,New Property,Ready To Move,Broker,Yes, Rayasandra,632
657,3,4676000,New Property,Ready To Move,Broker,No, Sarjapur,995
658,3,6840000,New Property,Ready To Move,Broker,No, Sarjapur,1800
659,2,7020000,New Property,Ready To Move,Broker,No, Anekal,1350
660,2,5800000,New Property,Ready To Move,Broker,No, Electronic City Phase II,860
661,3,18000000,Resale,Ready To Move,Broker,No, Sarjapur Road,2885
662,3,32500000,Resale,Ready To Move,Broker,No, Yeshwanthpur,2335
663,3,29900000,New Property,Ready To Move,Broker,No, Whitefield,2154
664,2,4900000,New Property,Ready To Move,Broker,No, Sarjapur,858
665,1,3277000,New Property,Ready To Move,Broker,No, Sarjapur,565
666,2,5737000,New Property,Ready To Move,Broker,No, Electronic City,1610
667,2,8500000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1413
668,3,6053000,New Property,Ready To Move,Broker,No, Off Sarjapur road,1316
669,3,9527000,New Property,Ready To Move,Broker,No, Whitefield,1657
670,2,6800000,New Property,Ready To Move,Broker,No, Kanakapura Road,1023
671,1,3903000,New Property,Ready To Move,Broker,No, Doddaballapur Road,697
672,3,18800000,New Property,Ready To Move,Broker,Yes, JP Nagar,1815
673,3,19300000,New Property,Ready To Move,Broker,Yes, Chikkavaderapura,2438
674,4,41700000,New Property,Ready To Move,Broker,Yes, Whitefield,3556
675,3,9823000,Resale,Ready To Move,Broker,No, Jakkur,1690
676,2,12700000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,1215
677,2,8000000,Resale,Ready To Move,Broker,Yes, Kanakapura Road,1019
678,3,11000000,New Property,Ready To Move,Broker,No, Yeshwanthpur,1445
679,3,24500000,New Property,Ready To Move,Broker,No, Hosur Road,1625
680,2,8500000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1413
681,2,16000000,New Property,Ready To Move,Broker,No, Bannerghatta Road,1375
682,3,5504000,New Property,Ready To Move,Broker,No, Raja Rajeshwari Nagar,1280
683,2,6237000,New Property,Ready To Move,Broker,No, Off Sarjapur road,1386
684,3,6053000,New Property,Ready To Move,Broker,No, Off Sarjapur road,1316
685,3,9527000,New Property,Ready To Move,Broker,No, Whitefield,1657
686,2,6800000,New Property,Ready To Move,Broker,No, Kanakapura Road,1023
687,1,3903000,New Property,Ready To Move,Broker,No, Doddaballapur Road,697
688,2,3210000,New Property,Ready To Move,Broker,No, Sarjapur Attibele Road,1189
689,2,2935000,New Property,Ready To Move,Broker,No, Attibele,1174
690,2,2665000,New Property,Ready To Move,Broker,No, Devanahalli,650
691,3,9299000,New Property,Ready To Move,Broker,No, Marathahalli,1565
692,3,12000000,New Property,Ready To Move,Broker,No, Whitefield,1480
693,3,11200000,New Property,Ready To Move,Broker,Yes, Samethanahalli,1465
694,2,10500000,New Property,Ready To Move,Broker,Yes, Vijaya Nagar,1045
695,3,40200000,New Property,Ready To Move,Broker,Yes, Jayanagar,2554
696,3,12000000,New Property,Ready To Move,Broker,Yes, Electronic City,1565
697,3,11800000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,1281
698,3,16400000,New Property,Ready To Move,Broker,Yes, JP Nagar,1580
699,2,6237000,New Property,Ready To Move,Broker,No, Off Sarjapur road,1386
700,2,6800000,New Property,Ready To Move,Broker,No, Kanakapura Road,1023
701,2,3210000,New Property,Ready To Move,Broker,No, Sarjapur Attibele Road,1189
702,3,9299000,New Property,Ready To Move,Broker,No, Marathahalli,1565
703,2,13000000,New Property,Ready To Move,Broker,No, Whitefield,1112
704,3,12000000,New Property,Ready To Move,Broker,No, Whitefield,1480
705,2,4000000,New Property,Ready To Move,Broker,No, Yelahanka,800
706,2,5577000,New Property,Ready To Move,Broker,No, Anekal,1014
707,3,7500000,New Property,Ready To Move,Broker,No, Hosur Road,1400
708,3,5010000,New Property,Ready To Move,Broker,No, Choodasandra,1215
709,3,15500000,New Property,Ready To Move,Broker,No, Bellandur,1765
710,2,6800000,New Property,Ready To Move,Broker,No, Sarjapur Road,1078
711,1,4300000,New Property,Ready To Move,Broker,No, Hosur Road,586
712,2,6900000,New Property,Ready To Move,Broker,No, Whitefield,1280
713,2,6000000,New Property,Ready To Move,Broker,No, Devanahalli,1058
714,4+,74700000,New Property,Ready To Move,Broker,Yes, Hebbal,4890
715,3,15500000,New Property,Ready To Move,Broker,Yes, Rayasandra,1801
716,4,14200000,Resale,Ready To Move,Broker,Yes, Electronic City Phase II,2225
717,2,6000000,New Property,Ready To Move,Broker,No, Bagaluru,950
718,3,9650000,New Property,Ready To Move,Broker,Yes, Devanahalli,1273
719,3,12100000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,1321
720,3,22000000,New Property,Ready To Move,Broker,No, Whitefield,1688
721,2,4100000,New Property,Ready To Move,Broker,No, Hoskote,1206
722,2,5775000,New Property,Ready To Move,Broker,No, Uttarahalli,1050
723,2,9950000,New Property,Ready To Move,Broker,No, Whitefield,1292
724,2,6800000,New Property,Ready To Move,Broker,No, Sarjapur Road,1078
725,2,12800000,New Property,Ready To Move,Broker,No, Sarjapur Road,1317
726,1,4300000,New Property,Ready To Move,Broker,No, Hosur Road,586
727,2,6000000,New Property,Ready To Move,Broker,No, Devanahalli,1058
728,3,20000000,New Property,Ready To Move,Broker,No, Whitefield,1815
729,3,13500000,New Property,Ready To Move,Broker,No, Sarjapur Road,1658
730,2,6000000,New Property,Ready To Move,Broker,No, Kanakapura Road,1100
731,2,14000000,New Property,Ready To Move,Broker,No, Sarjapur Road,1097
732,3,8933000,Resale,Ready To Move,Broker,No, Bagaluru,1562
733,3,15900000,New Property,Ready To Move,Broker,No, Bagaluru,1670
734,3,8698000,Resale,Ready To Move,Broker,No, Doddakallasandra,1325
735,3,21100000,Resale,Ready To Move,Broker,Yes, Sarjapur,2070
736,2,16300000,New Property,Ready To Move,Broker,Yes, JP Nagar,1570
737,4,80000000,New Property,Ready To Move,Broker,Yes, Hebbal,5098
738,3,11800000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,1281
739,1,3154000,Resale,Ready To Move,Broker,Yes, Off Sarjapur road,701
740,3,20800000,New Property,Ready To Move,Broker,Yes, Bellandur,1665
741,2,8600000,New Property,Ready To Move,Broker,No, Shettigere,876
742,4+,30000000,Resale,Ready To Move,Broker,No, S,2625
743,3,20000000,New Property,Ready To Move,Broker,No, Byrathi,1924
744,3,15000000,Resale,Ready To Move,Broker,No, Choodasandra,1800
745,3,5092000,Resale,Ready To Move,Broker,No, Bommasandra Jigani L,1455
746,3,9308000,New Property,Ready To Move,Broker,No, Doddakallasandra,1420
747,3,6497000,New Property,Ready To Move,Broker,No, Bagaluru,1043
748,2,7100000,New Property,Ready To Move,Broker,No, Kasavanahalli,1150
749,1,4298000,New Property,Ready To Move,Broker,No, Bagaluru,690
750,1,2000000,Resale,Ready To Move,Broker,No, Abbaiah Reddy Layout,800
751,4+,53000000,New Property,Ready To Move,Broker,No, Hennur,3250
752,1,3754000,New Property,Ready To Move,Broker,No, Bagaluru,652
753,2,5065000,New Property,Ready To Move,Broker,No, Varthur,921
754,2,9216000,New Property,Ready To Move,Broker,No, Horamavu,1280
755,3,11000000,New Property,Ready To Move,Broker,No, Belathur Ma,1491
756,3,5188000,Resale,Ready To Move,Broker,Yes, IVC Road,1504
757,3,41400000,New Property,Ready To Move,Broker,Yes, Whitefield,3160
758,4,25300000,New Property,Ready To Move,Broker,Yes, Bellandur,2025
759,3,16300000,Resale,Ready To Move,Broker,No, Whitefield,1930
760,2,7700000,New Property,Ready To Move,Broker,Yes, Gopasandra,1326
761,3,36800000,New Property,Ready To Move,Broker,Yes, Whitefield,2796
762,2,14200000,Resale,Ready To Move,Broker,No, Yelahanka,1304
763,3,9308000,New Property,Ready To Move,Broker,No, Doddakallasandra,1420
