,NumberOfBHK,Price,Transaction,Availability,PostedBy,ReraApproved,AreaName,BuiltUpArea_sqft
85,4,35000000,New Property,Ready To Move,Broker,Yes, Kundalahalli,3048
86,3,15100000,Resale,Ready To Move,Broker,No, Mahadevapura,1960
87,4,85500000,New Property,Ready To Move,Broker,No, Malleshwaram,4465
88,4,52900000,New Property,Ready To Move,Broker,Yes, Jakkur,5263
89,4,25100000,Resale,Ready To Move,Broker,Yes, Anekal,3191
90,3,12000000,New Property,Ready To Move,Broker,No, Kanakapura Road,1527
91,2,11000000,New Property,Ready To Move,Broker,No, Old Madras Road,1135
92,3,6950000,Resale,Ready To Move,Broker,No, Hennur Road,1300
93,2,4900000,New Property,Ready To Move,Broker,No, Sarjapur,845
94,2,9900000,Resale,Ready To Move,Broker,No, Kanakapura Road,1030
95,3,7567000,New Property,Ready To Move,Broker,No, Hoskote,1610
96,2,12100000,New Property,Ready To Move,Broker,No, Sarjapur,1600
97,3,20600000,New Property,Ready To Move,Broker,No, Whitefield,1615
98,3,9100000,New Property,Ready To Move,Broker,No, Sompura,1400
99,3,12800000,New Property,Ready To Move,Broker,No, Sarjapur Attibele Road,1996
100,2,5598000,New Property,Ready To Move,Broker,No, Sarjapur,933
101,3,16000000,New Property,Ready To Move,Broker,No, Thanisandra Ma,1631
102,3,14000000,New Property,Ready To Move,Broker,No, Hosur Road,1685
103,2,7600000,New Property,Ready To Move,Broker,No, Bagaluru,1092
104,3,20000000,New Property,Ready To Move,Broker,No, Whitefield,1682
105,3,11600000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,1455
106,2,12400000,New Property,Ready To Move,Broker,Yes, Banashankari 6th Stage,1177
107,4,10400000,Resale,Ready To Move,Broker,No, Sarjapur,2314
108,4,31800000,New Property,Ready To Move,Broker,Yes, Bannerghatta Road,2700
109,3,6336000,Resale,Ready To Move,Broker,No, Whitefield,1440
110,4,39700000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,3153
111,2,11800000,New Property,Ready To Move,Broker,No, Sarjapur Road,1300
112,3,18100000,New Property,Ready To Move,Broker,No, Chikkavaderapura,1431
113,3,9474000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1630
114,2,4900000,New Property,Ready To Move,Broker,No, Sarjapur,845
115,3,12000000,New Property,Ready To Move,Broker,No, Kanakapura Road,1527
116,2,11000000,New Property,Ready To Move,Broker,No, Old Madras Road,1135
117,2,9900000,Resale,Ready To Move,Broker,No, Kanakapura Road,1030
118,3,12800000,New Property,Ready To Move,Broker,No, Sarjapur Attibele Road,1996
119,2,13700000,New Property,Ready To Move,Broker,No, Whitefield,1465
120,3,7567000,New Property,Ready To Move,Broker,No, Hoskote,1610
121,3,20600000,New Property,Ready To Move,Broker,No, Whitefield,1615
122,3,9100000,New Property,Ready To Move,Broker,No, Sompura,1400
123,2,5598000,New Property,Ready To Move,Broker,No, Sarjapur,933
124,2,12100000,New Property,Ready To Move,Broker,No, Sarjapur,1600
125,3,16000000,New Property,Ready To Move,Broker,No, Thanisandra Ma,1631
126,3,9872000,New Property,Ready To Move,Broker,Yes, Devanahalli,1498
127,3,9863000,New Property,Ready To Move,Broker,Yes, Whitefield,1110
128,3,13800000,Resale,Ready To Move,Broker,No, Akshayanagar,1820
129,2,8009000,Resale,Ready To Move,Broker,Yes, Whitefield,1047
130,2,8797000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,945
131,2,9573000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,907
132,3,16100000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1345
133,3,5625000,New Property,Ready To Move,Broker,No, Jigani,1680
134,2,7200000,New Property,Ready To Move,Broker,No, Whitefield,1092
135,2,2300000,New Property,Ready To Move,Broker,No, Electronic City Phase II,660
136,3,12000000,New Property,Ready To Move,Broker,No, Raja Rajeshwari Nagar,1890
137,3,13800000,New Property,Ready To Move,Broker,No, Whitefield,1700
138,1,10800000,New Property,Ready To Move,Broker,No, Chandapura,1200
139,3,18000000,New Property,Ready To Move,Broker,No, Whitefield,1839
140,2,9500000,New Property,Ready To Move,Broker,No, Budigere,1087
141,2,8056000,New Property,Ready To Move,Broker,No, Bellandur,1230
142,3,13500000,New Property,Ready To Move,Broker,No, Uttarahalli,1498
143,1,3999000,New Property,Ready To Move,Broker,No, Kanakapura Road,517
144,2,3400000,New Property,Ready To Move,Broker,No, Electronic City Phase I,900
145,3,9200000,New Property,Ready To Move,Broker,No, Budigere Cross,1750
146,1,5044000,New Property,Ready To Move,Broker,No, Kanakapura Road,554
147,2,8800000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,1100
148,4,49400000,New Property,Ready To Move,Broker,Yes, Jakkur,4857
149,3,15500000,New Property,Ready To Move,Broker,Yes, Rayasandra,1801
150,3,11700000,New Property,Ready To Move,Broker,Yes, Vijaya Nagar,1186
151,4,62100000,New Property,Ready To Move,Broker,No, Old Madras Road,3720
152,3,26100000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,2104
153,3,9268000,New Property,Ready To Move,Broker,No, Devanahalli,1273
154,1,5044000,New Property,Ready To Move,Broker,No, Kanakapura Road,554
155,2,8800000,New Property,Ready To Move,Broker,No, Bannerghatta Road,1291
156,2,4144000,New Property,Ready To Move,Broker,No, Jigani,1225
157,3,13900000,New Property,Ready To Move,Broker,No, Whitefield,1700
158,3,11000000,New Property,Ready To Move,Broker,No, Thanisandra,1550
159,3,9000000,New Property,Ready To Move,Broker,No, Sarjapur Road,1554
